start	end	text
606	2967	Orange Lounge Radio To Go Edition, week of September 12th, 2005.
30848	32448	My name is Rob Roberts, you might know me as Sky.
32489	36230	Joining me as always, my awesome co-host, say hello to the one and only, DarkSakura.
36950	37910	Uh, brains.
38570	39531	You sound like you're in a good mood.
39551	43172	Uh... Maybe been playing a little too much Resident Evil?
43512	44872	No, I've been playing with my puppies.
45512	47893	And I went to Dave and Buster's last night.
48293	48913	Fun, fun times.
48933	53215	You have to fill us in in just a minute here, but first let me introduce the one and only, Techmaster Loki.
53755	54095	I'm here.
54415	54795	How you doing?
55035	55335	I'm good.
55636	55796	Good.
56796	57076	All right.
57569	60511	Usually we like to start off the show with a little bit of how was your gaming week?
60531	61312	What have you been playing?
61332	62353	Let's get right into it.
63033	64394	DarkSakura, what have you been playing this week?
64534	64895	Puppies.
66496	67136	Everyday puppies.
68077	68778	Have you been good about it?
68798	69939	Are you actually going in there everyday?
70239	74822	Yeah, and I walk my puppies and clean up their poopy and I make them catch frisbee and earn me money.
75103	77084	So I pimp out my puppies to the frisbee people.
77384	81608	Do you think the game is starting to get to the point of it's getting a little irritating having to go in everyday?
81748	81868	No.
82308	82428	No?
83029	84710	Because that's what some people are bitching about.
85106	85466	I'm hearing now.
85486	89309	Well, then they, you know, never had a virtual pet before.
89329	90470	Nintendogs was not for them.
91050	93292	They never carried around their pocket Pikachu, damn it.
95153	98456	I also played, went to Dave and Buster's last night and played Battletech for the first time.
98476	102719	Yeah, that game gave me a headache, made me want to throw up.
102799	104660	Now, describe Battletech for those that may not know.
104720	108863	You get in these pod things and basically it's like you're in the cockpit of a mech.
109844	110945	And you go around killing people.
112205	112786	I didn't like it.
114426	119489	It's one of those games where the screen's up on top and it reflects onto a concave mirror.
121089	124931	It totally messed with my sense of motion sickness.
125991	126392	I played...
127672	133779	Lange and the Midnight Maximum tune last night and completely owned my husband.
134680	135621	So weird saying that.
135881	136642	Your husband!
136662	140046	I've been married 10 days and I still have trouble writing my last name.
140727	141988	I haven't been to the DMV yet either.
142008	142629	Um...
145752	154881	I also played a bunch of Tiki games and that was really... Dave Buster's the one place where playing Tiki games can be cool, not like Chuck E. Cheese.
154901	158725	Yeah, I was trying to save up enough to get new mugs, but they didn't have any mugs, so I just saved my tickets.
159806	163830	I had enough to purchase an Xbox game or a PS2 game, but I just, I didn't.
165414	173496	I thought about getting that racing game that Rockstar puts out, the Midnight Club 3 Dub Edition.
173776	175657	If you want to play that, I've got it, I think.
176017	177217	Maybe I'll borrow it and check it out.
177477	178597	I need a good racing game.
179078	180998	Now that I've given you back your copy of Silent Hill 4.
181138	181418	Awesome.
182458	183179	I need to play through that.
184979	185879	Anyway, anything else?
186980	187320	Puppies!
187860	187960	Loki!
189827	193189	So I've been playing Burnout 3, as per usual.
193869	198772	And then I got a copy of Burnout Legends for the PSP, so I've been playing that.
199293	204476	Just to tide me over until I get Burnout Revenge this week, which I have on pre-order and already paid for.
205116	206317	And that one's going to be awesome.
206737	207918	And Burnout Legends is cool.
207938	213441	It's kind of all three games of the original three put together, plus bonus stuff.
214161	215122	And I love it.
215802	218404	God, you haven't shut up about this Burnout game for like two months already.
219033	221976	And then other things I've been playing.
222036	224158	Nintendogs, of course, I have to take care of Taco.
225459	227701	Which I do find it a little annoying.
227882	231085	Just because he's always hungry, no matter how often I check on him.
231105	234408	It's like, damn, my dog never got that hungry.
234688	239032	I mean, why can't you just leave the bowl out for him to eat the damn food and just leave it there?
239052	239593	I mean...
240106	242166	My dog never went through a bowl of water that quick.
242246	243287	I mean, what the hell?
243587	244387	Water should be free.
244427	245827	Why the hell do I have to buy water?
245987	247687	Because your puppies need special water.
248068	248308	Oh, fuck them.
248328	249628	That you buy at the dog store.
250168	251828	Stupid special water.
251908	255629	You have to walk to the discount store and get it for, you know, uber cheap.
255669	258249	Why isn't there a store where you have to buy toys?
258289	260410	You have to find used toys in the street.
260610	262330	I mean, isn't that a little weird?
262770	263731	I sell that crap.
264991	266071	My friend got a Dalmatian.
267011	267411	That's cool.
267431	269272	Yeah, I heard Dalmatians were unlockable in it.
269292	270752	She found the fireman hat.
271052	271452	Lucky.
271853	272893	Got a Dalmatian named Lala.
272913	273773	Just in the street somewhere?
274693	274994	Lana.
275834	281636	She found the... You have to... If you walk around the top perimeter, then you get more rare stuff.
282436	282996	Oh, interesting.
283556	285157	The further away you go from home, the better stuff you get.
285177	289938	And what the hell are those packages that... I'll be walking and all of a sudden there's a box sitting on the ground.
289958	292619	You have to shake your leash over it and your dog, you will notice it.
292819	294980	Pull your dog back and he'll grab it and open it.
296027	296888	Use the leash to pull back.
296968	298449	I was shaking the hell out of my dog.
298469	302291	You would have thought that I was trying to kill it or something, and the fucker wouldn't pick up the package.
302572	303893	I've got two dogs that I have.
304193	309877	I'm a Welsh Corgi, and I have Menchie, who's a Shiba Inu, and I didn't realize I have anime dogs now, both of them.
310457	312739	And they're both like fish sticks from the trash can.
313479	317162	I have Oscar, my wiener dog, who has a Mario hat now, by the way, which I found in the street.
317942	324727	I have Taco, who has a spike collar, a news hat, and some sunglasses.
325450	327051	I have the Japanese style collar on Minji.
327071	327272	Takara.
353685	361067	It's like you can do fights against... It's basically like Super Smash Bros., but you can play as Simon Belmont versus Optimus Prime.
361147	361967	I mean, come on.
361987	362267	That's crazy.
362287	362947	That's rad.
362987	365647	And Optimus Prime turns into a truck and runs over people.
365707	366428	I find it funny.
366628	369908	Well, Takara is actually... Takara is a toy maker.
370949	376670	And they're the ones who put out Transformers and, like, Lika-chan, the little Barbie doll in Japan.
376690	377230	Yep, she's in it.
377530	378430	Yeah, Lika-chan's in it.
379835	381937	And then Master Higgins from Adventure Island.
