start	end	text
0	7000	Orange Lounge Radio
7000	14000	With your hosts, DarkSakura, Skie, and Loki!
14000	17360	Although tomorrow is officially day zero, the E3 keynotes begin tonight with Bethesda's
17360	20600	announcements, some of which may have already been revealed during a live streamed rehearsal.
20600	23780	Join us for the keynote reaction, expectations, and all the week's news starting right now
23780	27440	on the show, where every gamer has a voice!
27440	31440	Orange Lounge Radio
31440	34600	Hello my friends out there on the internet and welcome back to another week of the show
34600	36520	where every gamer has a voice.
36520	43420	This is Orange Lounge Radio with a special mini E3 2015 episode for this June the 14th
43420	45220	of 2015.
45220	50040	My name is Rob Roberts and joining me in studio as she always does, say hello to DarkSakura
50040	51040	or Jamie Summers.
51040	52260	Except when I don't.
52260	54220	Except when you don't, like last week.
54220	58760	But I hear a lot of good things are going on at work for you.
58760	63340	Good things and it's been such a combination of bad and good at the same time, that I'm
63340	65580	sort of like, what?
65580	68340	Well I hope you were feeling a lot of the love listeners were sending you last week,
68340	69340	they missed you.
69340	71700	Thank you everybody, I appreciate it.
71700	74660	Also joining us in studio tonight, say hello to Tech Master Loki!
74660	75660	Hi.
75660	79180	Hi, and who actually had two milkshakes for dinner tonight, correct?
79180	87740	Well, technically I had, you know, a garlic fries and a, was it a cheese, you know, sandwich.
87740	90220	Okay, so you had a little bit before you brought the milkshakes to you.
90220	94660	But then I had two milkshakes because, you know, I wanted a large milkshake from In-N-Out
94660	97340	but they didn't have a large milkshake, they only have one size, so.
97340	99420	I was like, I'll just get two.
99420	103660	Which is a mistake because those milkshakes are extremely heavy.
103660	108180	But I was determined, I paid money for them to finish both.
108180	112220	I did, but it's just like, oh, that's a lot of food.
112220	116500	Alright, well, tonight is a little bit different edition of Orange Launch Radio.
116500	119980	Those of you on the podcast feed are probably going to realize, gosh, this week's OLR seems
119980	122980	really short, especially for a big week as such as E3.
122980	125860	Well here's what's going on guys, we're having to do a little bit of production on the fly
125860	130380	tonight because we got bumped back a little bit by the Nintendo World Championships, which
130380	136540	just wrapped up not even like two minutes ago, it's now 6.25 or so on the west coast,
136540	138460	9.25 on the east coast.
138460	143380	And this is not a pre-E3 show, we're in it, we're sitting in it.
143380	146140	Announcements are starting to come out, we're going to talk about some of those in just
146140	147140	a moment.
147140	150860	Bethesda's press conference starts at seven, so we got a lot to get through tonight.
150860	155180	But you know, not only did our show get bumped back a little bit by all the Nintendo World
155180	160940	Championship stuff going on, but our good pal Bobby Blackwolf, he does a show every
160940	165500	Sunday right before us on the network at five o'clock Pacific, eight o'clock Eastern, and
165500	169780	that Nintendo World Championships tonight just ate up his show entirely, and I felt
169780	171820	really bad for him.
171820	175260	A lot of us really enjoy hearing from Bobby, and he's always good enough to have us on
175260	179220	his show every single week, so I thought, you know what, let's bring him on to OLR tonight.
179220	181020	Bobby, how you doing?
181020	184140	Are you a squid, or are you a kid?
184140	189420	I'm having an identity crisis, I think I might be both.
189420	191940	Have you been playing any Splatoon at all, Bobby?
191940	192940	You want to know what?
192940	195540	I had not really seen it or played it until tonight.
195540	197380	I see what all the fuss is about.
197380	198980	I may be go getting it.
198980	199980	It's a lot of fun.
199980	205260	You know, for a first person shooter, the whole different mechanic where it's what's
205260	208940	covered in paint that really makes the difference, just has this whole little different spin
208940	209940	on it.
209940	210940	It's actually a third person shooter.
210940	214180	Yeah, it's not about the kills, you know what I mean, yeah, it really is a third person
214180	215180	shooter.
215180	218460	Anyway, I'm having a lot of fun with it.
218460	225180	Some of the Amiibo on disc DLC, some of that kind of bugs me, and some of the online, so
225180	230100	it's flawed, but it's still really strong, especially for an original IP title.
230100	234020	Yeah, but no, the Nintendo World Championships, I watched the whole thing.
234020	235380	I was in it in 1990.
235380	240980	I was a semi-finalist in Atlanta, so I kind of have a personal connection to it, and so
240980	242300	I watched the whole thing.
242300	247740	Wow, the logistics and what they pulled off in three and a half hours, the pacing was
247740	248740	amazing.
248740	251620	It did not feel like a three and a half hour show.
251620	254580	Evo could learn a thing or two.
254580	257020	Are you irritated that you got bumped tonight, Bobby?
257020	258780	No, you know, it's fine.
258780	263660	What I'm going to probably most likely do is I may do my show for this week where I
263660	265380	talk about the press conferences.
